"kolam_png_hash","artist_id","jathi_standard_all","size","entropy","entropy_exponentiated","total_gestures","n_unique_gestures","gesture_gini","density","age","duration_practice"
"28c510a","ae7",12,7,1.3,3.66929666761924,57,5,0.508771929824561,1.16326530612245,34,24
"34e2574","ae7",12,3,0.87,2.38691085352428,24,3,0.5,2.66666666666667,34,24
"7a57a8d","ae7",12,5,1.01,2.74560101501692,24,3,0.333333333333333,0.96,34,24
"a03a411","ae7",12,5,1.19,3.28708120738312,26,4,0.435897435897436,1.04,34,24
"b47ecc7","ae7",12,5,1.01,2.74560101501692,24,3,0.333333333333333,0.96,34,24
"b7276c9","ae7",12,4,0.76,2.13827622049682,44,3,0.636363636363636,2.75,34,24
"c61e85c","ae7",12,7,1.63,5.10387471853673,52,6,0.353846153846154,1.06122448979592,34,24
"016d0c4","aj2",6,6,1.04,2.82921701435156,32,3,0.25,0.888888888888889,30,20
"3f49596","aj2",6,5,1.7,5.4739473917272,24,7,0.388888888888889,0.96,30,20
"4fd47f2","aj2",6,5,1.01,2.74560101501692,24,3,0.333333333333333,0.96,30,20
"70c12a7","aj2",6,5,1.15,3.15819290968977,28,4,0.428571428571429,1.12,30,20
"795d805","aj2",6,7,1.63,5.10387471853673,52,6,0.353846153846154,1.06122448979592,30,20
"84d8aec","aj2",6,5,1.79,5.98945246638311,24,8,0.404761904761905,0.96,30,20
"cc35bbb","aj2",6,7,1.24,3.45561346476268,44,4,0.393939393939394,0.897959183673469,30,20
"ce30fd7","aj2",6,7,1.25,3.49034295746184,56,5,0.535714285714286,1.14285714285714,30,20
"d21a8a3","aj2",6,6,1.44,4.22069581699655,38,6,0.473684210526316,1.05555555555556,30,20
"ff0bd07","aj2",6,7,1.2,3.32011692273655,48,4,0.444444444444444,0.979591836734694,30,20
"4eabc1c","aj2",6,7,1.67,5.31216779718117,56,7,0.428571428571429,1.14285714285714,30,20
"5327494","aj2",6,7,1.2,3.32011692273655,48,4,0.444444444444444,0.979591836734694,30,20
"6d6c8ca","aj2",6,7,2.04,7.690609198879,49,9,0.326530612244898,1,30,20
"e301dc5","aj2",6,7,0.98,2.66445624192942,65,5,0.723076923076923,1.3265306122449,30,20
"e8162e8","aj2",6,7,1.04,2.82921701435156,49,4,0.578231292517007,1,30,20
"18a0b0f","alc",6,7,1.14,3.12676836518616,58,5,0.637931034482759,1.18367346938776,28,16
"00c0c13","alc",6,5,1.17,3.2219926385285,56,4,0.476190476190476,2.24,28,16
"30df73f","alc",6,5,1.17,3.2219926385285,56,4,0.476190476190476,2.24,28,16
"33554c1","alc",6,7,1.63,5.10387471853673,52,6,0.353846153846154,1.06122448979592,28,16
"3b45a73","alc",6,5,0.98,2.66445624192942,65,5,0.723076923076923,2.6,28,16
"43f81eb","alc",6,5,1.01,2.74560101501692,24,3,0.333333333333333,0.96,28,16
"d8ca5c1","alc",6,7,1.03,2.80106583469908,56,4,0.571428571428571,1.14285714285714,28,16
"feba809","alc",6,5,1.19,3.28708120738312,26,4,0.435897435897436,1.04,28,16
"02e4424","alc",6,5,1.35,3.85742553069697,28,6,0.542857142857143,1.12,28,16
"b15bd7f","alc",6,6,0.96,2.61169647342312,48,3,0.416666666666667,1.33333333333333,28,16
"d85f572","alc",6,6,1.04,2.82921701435156,48,3,0.25,1.33333333333333,28,16
"c46ee3f","alc",6,7,1.8,6.04964746441295,44,7,0.303030303030303,0.897959183673469,28,16
"63c3fcf","ann",6,5,1.08,2.94467955106552,32,3,0.125,1.28,29,19
"7b4ccbd","ann",6,7,1.75,5.75460267600573,38,6,0.157894736842105,0.775510204081633,29,19
"ecfff43","ann",6,3,1.53,4.61817682229978,16,5,0.21875,1.77777777777778,29,19
"fbecacb","ann",6,11,0.98,2.66445624192942,52,3,0.384615384615385,0.429752066115702,29,19
"2e6135f","ann",6,5,1.26,3.52542148736538,32,4,0.333333333333333,1.28,29,19
"945f0c4","ann",6,5,0.87,2.38691085352428,48,3,0.5,1.92,29,19
"d5c8413","ann",6,5,1.33,3.78104338756878,25,5,0.46,1,29,19
"e5a4885","ann",6,4,1.05,2.85765111806316,10,3,0.2,0.625,29,19
"fee8fe3","ann",6,5,1.85,6.35981952260183,38,9,0.493421052631579,1.52,29,19
"3333d94","ann",6,10,0.89,2.43512965128987,100,3,0.48,1,29,19
"3efcdc6","ann",6,4,1.21,3.35348465254902,16,4,0.416666666666667,1,29,19
"bf0f8e6","ann",6,5,1.63,5.10387471853673,42,6,0.352380952380952,1.68,29,19
"dbe6a8c","ann",6,5,1.15,3.15819290968977,28,4,0.428571428571429,1.12,29,19
